"ID","step","angle","x","y","doy","tod","timestamp"
"Animal1",0.39619512015367,1.71095808172533,-4.872549,6.88839,262,3,"2018-09-19 04:01:36.000"
"Animal1",0.0573963845111104,1.03218016862411,-4.876133,6.888315,262,4,"2018-09-19 06:01:30.000"
"Animal1",0.165217465335356,0.380792646871766,-4.87639,6.887864,262,5,"2018-09-19 08:00:39.000"
"Animal1",0.0596383849947531,2.01085977658345,-4.876594,6.886384,262,6,"2018-09-19 10:00:38.000"
"Animal1",0.171907330710209,0.487539580028628,-4.876079,6.886545,262,7,"2018-09-19 12:01:07.000"
"Animal1",0.0235162175727097,1.49197202512336,-4.874985,6.88765,262,8,"2018-09-19 14:01:06.000"
"Animal1",0.774964878225193,-0.73328111480109,-4.875124,6.887811,262,9,"2018-09-19 16:00:54.000"
"Animal1",0.669535989691902,1.37982861577654,-4.874974,6.894817,262,10,"2018-09-19 18:01:30.000"
"Animal1",0.62259528902348,0.584869500906045,-4.880896,6.896093,262,11,"2018-09-19 20:01:00.000"
"Animal1",1.71541966567129,0.748512169478755,-4.886143,6.894044,262,12,"2018-09-19 22:01:00.000"
"Animal1",1.60045570911182,0.696746156156438,-4.892891,6.880075,263,1,"2018-09-20 00:01:01.000"
"Animal1",0.5479779798745,1.39310893269805,-4.889351,6.866042,263,2,"2018-09-20 02:00:49.000"
"Animal1",0.255850411173375,1.13155665706445,-4.884405,6.866385,263,3,"2018-09-20 04:01:19.000"
"Animal1",0.605927968208442,-1.40800561522394,-4.883568,6.868542,263,4,"2018-09-20 06:01:11.000"
"Animal1",0.0624306510469103,2.67096856829408,-4.878203,6.867415,263,5,"2018-09-20 08:01:01.000"
"Animal1",0.415376395031449,-1.80947788294682,-4.878643,6.867769,263,6,"2018-09-20 10:00:39.000"
"Animal1",0.00171985831020374,-1.44001536178646,-4.875661,6.870055,263,7,"2018-09-20 12:01:04.000"
